CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Gender_Encoded,Cluster,Persona
90,Female,50,58,46,1,0,Seasoned Mainstream Steadies
91,Female,68,59,55,1,0,Seasoned Mainstream Steadies
92,Male,18,59,41,0,1,Young Mainstream Steadies
93,Male,48,60,49,0,0,Seasoned Mainstream Steadies
94,Female,40,60,40,1,1,Young Mainstream Steadies
95,Female,32,60,42,1,1,Young Mainstream Steadies
96,Male,24,60,52,0,1,Young Mainstream Steadies
97,Female,47,60,47,1,0,Seasoned Mainstream Steadies
98,Female,27,60,50,1,1,Young Mainstream Steadies
99,Male,48,61,42,0,0,Seasoned Mainstream Steadies
100,Male,20,61,49,0,1,Young Mainstream Steadies
101,Female,23,62,41,1,1,Young Mainstream Steadies
102,Female,49,62,48,1,0,Seasoned Mainstream Steadies
103,Male,67,62,59,0,0,Seasoned Mainstream Steadies
104,Male,26,62,55,0,1,Young Mainstream Steadies
105,Male,49,62,56,0,0,Seasoned Mainstream Steadies
106,Female,21,62,42,1,1,Young Mainstream Steadies
107,Female,66,63,50,1,0,Seasoned Mainstream Steadies
108,Male,54,63,46,0,0,Seasoned Mainstream Steadies
109,Male,68,63,43,0,0,Seasoned Mainstream Steadies
110,Male,66,63,48,0,0,Seasoned Mainstream Steadies
111,Male,65,63,52,0,0,Seasoned Mainstream Steadies
112,Female,19,63,54,1,1,Young Mainstream Steadies
113,Female,38,64,42,1,1,Young Mainstream Steadies
114,Male,19,64,46,0,1,Young Mainstream Steadies
115,Female,18,65,48,1,1,Young Mainstream Steadies
116,Female,19,65,50,1,1,Young Mainstream Steadies
117,Female,63,65,43,1,0,Seasoned Mainstream Steadies
118,Female,49,65,59,1,0,Seasoned Mainstream Steadies
119,Female,51,67,43,1,0,Seasoned Mainstream Steadies
120,Female,50,67,57,1,0,Seasoned Mainstream Steadies
121,Male,27,67,56,0,1,Young Mainstream Steadies
122,Female,38,67,40,1,1,Young Mainstream Steadies
123,Female,40,69,58,1,1,Young Mainstream Steadies
124,Male,39,69,91,0,3,High-Value Trendsetters
125,Female,23,70,29,1,1,Young Mainstream Steadies
126,Female,31,70,77,1,3,High-Value Trendsetters
127,Male,43,71,35,0,2,Affluent Conservatives
128,Male,40,71,95,0,3,High-Value Trendsetters
129,Male,59,71,11,0,2,Affluent Conservatives
130,Male,38,71,75,0,3,High-Value Trendsetters
131,Male,47,71,9,0,2,Affluent Conservatives
132,Male,39,71,75,0,3,High-Value Trendsetters
133,Female,25,72,34,1,1,Young Mainstream Steadies
134,Female,31,72,71,1,3,High-Value Trendsetters
135,Male,20,73,5,0,2,Affluent Conservatives
136,Female,29,73,88,1,3,High-Value Trendsetters
137,Female,44,73,7,1,2,Affluent Conservatives
138,Male,32,73,73,0,3,High-Value Trendsetters
139,Male,19,74,10,0,1,Young Mainstream Steadies
140,Female,35,74,72,1,3,High-Value Trendsetters
141,Female,57,75,5,1,2,Affluent Conservatives
142,Male,32,75,93,0,3,High-Value Trendsetters
143,Female,28,76,40,1,1,Young Mainstream Steadies
144,Female,32,76,87,1,3,High-Value Trendsetters
145,Male,25,77,12,0,2,Affluent Conservatives
146,Male,28,77,97,0,3,High-Value Trendsetters
147,Male,48,77,36,0,2,Affluent Conservatives
148,Female,32,77,74,1,3,High-Value Trendsetters
149,Female,34,78,22,1,2,Affluent Conservatives
150,Male,34,78,90,0,3,High-Value Trendsetters
151,Male,43,78,17,0,2,Affluent Conservatives
152,Male,39,78,88,0,3,High-Value Trendsetters
153,Female,44,78,20,1,2,Affluent Conservatives
154,Female,38,78,76,1,3,High-Value Trendsetters
155,Female,47,78,16,1,2,Affluent Conservatives
156,Female,27,78,89,1,3,High-Value Trendsetters
157,Male,37,78,1,0,2,Affluent Conservatives
158,Female,30,78,78,1,3,High-Value Trendsetters
159,Male,34,78,1,0,2,Affluent Conservatives
160,Female,30,78,73,1,3,High-Value Trendsetters
161,Female,56,79,35,1,0,Seasoned Mainstream Steadies
162,Female,29,79,83,1,3,High-Value Trendsetters
163,Male,19,81,5,0,2,Affluent Conservatives
164,Female,31,81,93,1,3,High-Value Trendsetters
165,Male,50,85,26,0,2,Affluent Conservatives
166,Female,36,85,75,1,3,High-Value Trendsetters
167,Male,42,86,20,0,2,Affluent Conservatives
168,Female,33,86,95,1,3,High-Value Trendsetters
169,Female,36,87,27,1,2,Affluent Conservatives
170,Male,32,87,63,0,3,High-Value Trendsetters
171,Male,40,87,13,0,2,Affluent Conservatives
172,Male,28,87,75,0,3,High-Value Trendsetters
173,Male,36,87,10,0,2,Affluent Conservatives
174,Male,36,87,92,0,3,High-Value Trendsetters
175,Female,52,88,13,1,2,Affluent Conservatives
176,Female,30,88,86,1,3,High-Value Trendsetters
177,Male,58,88,15,0,2,Affluent Conservatives
178,Male,27,88,69,0,3,High-Value Trendsetters
179,Male,59,93,14,0,2,Affluent Conservatives
180,Male,35,93,90,0,3,High-Value Trendsetters
181,Female,37,97,32,1,2,Affluent Conservatives
182,Female,32,97,86,1,3,High-Value Trendsetters
183,Male,46,98,15,0,2,Affluent Conservatives
184,Female,29,98,88,1,3,High-Value Trendsetters
185,Female,41,99,39,1,2,Affluent Conservatives
186,Male,30,99,97,0,3,High-Value Trendsetters
187,Female,54,101,24,1,2,Affluent Conservatives
188,Male,28,101,68,0,3,High-Value Trendsetters
189,Female,41,103,17,1,2,Affluent Conservatives
190,Female,36,103,85,1,3,High-Value Trendsetters
191,Female,34,103,23,1,2,Affluent Conservatives
192,Female,32,103,69,1,3,High-Value Trendsetters
193,Male,33,113,8,0,2,Affluent Conservatives
194,Female,38,113,91,1,3,High-Value Trendsetters
195,Female,47,120,16,1,2,Affluent Conservatives
196,Female,35,120,79,1,3,High-Value Trendsetters
197,Female,45,126,28,1,2,Affluent Conservatives
198,Male,32,126,74,0,3,High-Value Trendsetters
199,Male,32,137,18,0,2,Affluent Conservatives
200,Male,30,137,83,0,3,High-Value Trendsetters
